english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Westcoast steenbras,Lithognathus aureti,Weskus-steenbras,Lithognathus aureti.jpg,Fork length,1,60 cm,Open all year,91 cm,88 cm,0 cm,87 cm,70 cm,12.4 kg,RED,Map1.jpg,"Found inshore over sandy bottoms to depths of about 10m.  Feeds on sand mussels, worms and crabs.  The Westcoast Steenbras attains a maximum size of about 100cm.  Most commonly fished between October and March.  A popular angling fish and an important food fish.  Occurs from Cape to Namibia",Salt,From Mozambique to False Bay
White kingfish,Pseudocaranx dentex,Wit koningvis,Pseudocaranx dentex.jpg,Fork length,5,No limit,Open all year,51 cm,44 cm,0 cm,40 cm,32 cm,5.2 kg,RED,Map2.jpg,"Occurs in bays and coastal waters, including estuaries.  Juveniles usually inhabit estuaries, bays and shallow continental shelf waters, while adults form schools near the sea bed on the continental shelf.  Schools are found at the surface, in mid-water and on the bottom and are often associated with reefs and rocky bottoms.  Feeds on plankton and bottom-dwelling invertebrates.  One of the best table fish.  Occurs from Durban to Cape Agulhas",Salt,From Kosi Bay to Port Elizabeth
White musselcracker,Sparodon durbanensis,Witbiskop / Mosselkraker,Sparodon durbanensis.jpg,Fork length,2,60 cm,Open all year,96 cm,83 cm,61 cm,81 cm,65 cm,6.2 kg,RED,Map3.jpg,"White musselcracker are also known as Silver Steenbras, White Stompkop or White Biskop.  While they grow to more than 20kg, but catches are usually in the 5kg range or less.  They inhabit shallow coastal waters, mainly off rocky shores down to 80m.  Rarely enters estuaries and the young are commonly found in tidal pools.  Feeds mainly on molluscs and also on sea urchins.  Larger individuals undertake a spawning migration eastward to Transkei and southern KZN.  A very slow growing species that reaches sexual maturity very late which makes it very susceptible to overfishing.  They are extremely strong fighters and will use submerged rocks to their advantage when hooked.  Usually targeted with crabs, red bait or abalone.  Strong tackle is a must when going after white musselcracker.  While the flesh is edible, it is best to release them given their slow growth rate, late maturity and depleted stock.  Occurs from Durban to False Bay",Salt,From Mozambique to Knysna
White seacatfish / Sea barbel,Galeichthys feliceps,Swart seebaber,Galeichthys feliceps.jpg,Fork length,No limit,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,2.8 kg,NOT LISTED,Map7.jpg,"Generally found in large shoals on muddy bottoms in turbid waters, usually in the surf zone and in estuaries.  Also found in rivers.  Feed on crayfish, small fish, and crabs.  Considered a nuisance of shore and ski-boat anglers in southern Africa.  Spines are poisonous and wounds should be treated immediately by placing affected area in as hot water as can be handled.  The flesh is excellent.  Occurs from East London to Namibia",Salt,From Mozambique to Port Elizabeth
White steenbras,Lithognathus lithognathus,Witsteenbras,Lithognathus lithognathus.jpg,Fork length,1,60 cm,Open all year,116 cm,103 cm,84 cm,98 cm,78 cm,15.5 kg,RED,Map5.jpg,"White Steenbras can grow to over 20kg, but most caught are less than 5kg.  They are bottom feeders found over sandy substrate, in estuaries and offshore waters.  They also enter lagoons.  Often forms large shoals.  Feeds on bottom invertebrates, including worms, crabs and shrimp.  Spawns in the sea but uses estuaries as nursery grounds.  Found to a depth of about 25m.  It is likely that breeding areas are confined to a few locations off the Transkei coast.  It is a prime angling fish that is mostly taken from the shore.  Primarily targeted with bait such as prawns and bloodworm, but will also take fish bait such as pilchard.  Occurs from Durban to Saldanha Bay",Salt,From Mozambique to False Bay
White stumpnose,Rhabdosargus globiceps,Witstompneus,Rhabdosargus globiceps.jpg,Fork length,10,25 cm,Open all year,52 cm,46 cm,0 cm,44 cm,35 cm,2.01 kg,ORANGE,Map26.jpg,"White stumpnose can grow to around 3kg, but the typical size caught is less than 1kg.  They are silvery with distinct crossbars.  They are distinguished from other stumpnose species by the crossbars on the sides as well as the absence of yellow colouration.  It is a coastal species, often found in shoals, usually over sandy beaches, where they predominantly feed during night time.  Juveniles use estuaries and rivers as nurseries.  Spawns in winter and feeds on worms, crustaceans, and molluscs, especially mussels.  Flesh is excellent.  Occurs from Port Elizabeth to Namibia",Salt,From Mozambique to Knysna
Whitebarred rubberlip,Plectorhinchus playfairi,Witbalk rubberlip,Plectorhinchus playfairi.jpg,Fork length,10,No limit,Open all year,60 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"Black with white crossbars, fading to grey with 4 white bars.  Lips, skin around mouth and pectorals pink in colour.  Attains a maximum length of about 90cm.  Found on coral reefs as well as in littoral pools down to 90m.  A solitary species.  Occurs from Mozambique to Transkei",Salt,From Mozambique to Mossel Bay
White-edged rockcod / Captain Fine,Epinephelus albomarginatus,Witrand-klipkabeljou,Epinephelus albomarginatus.jpg,Total length,5 and maximum of 5 species per day.,40 cm,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,12.3 kg,RED,Map17.jpg,Light brown overall with numerous darker brown spots.  Pelvic and pectoral fins are bright yellow.  Found over rocks and coral reefs at depths of at least 100m.  Not found inshore.  Feeds mainly on benthic invertebrates but also on fish and squids.  Occurs from Mozambique to East London,Salt,naturally in central Asia and the Danube river in Europe.
Whitespotted blaasop,Arothron hispidus,Witspikkel blaasop,Arothron hispidus.jpg,Total length,No limit,No limit,Open all year,46 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,"Inhabit outer reef slopes to depths of at least 50 m, inner reef flats and lagoons.  Juveniles common in weedy areas of estuaries.  Also found in coastal bays and estuaries, usually near rocky reef or on sand-stretches between reefs.  Usually solitary and territorial.  This species is poisonous to eat.  Occurs from Mozambique to Knysna",Salt,.
Whitespotted rabbitfish,Siganus sutor,Witspikkel-konynvis,Siganus sutor.jpg,Fork length,10,No limit,Open all year,40 cm,40 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,Colour can vary depending on the colour of the substrate.  Inhabits inshore areas and inner reefs.  Often occurs among seagrass.  Forms schools and attain a maximum length of about 45cm.  Abundant from Port Elizabeth north-wards.  Not a good food fish as it may occasionally be poisonous.  Occurs from Mozambique to Knysna,Salt,
Wolfherring,Chirocentrus dorab,Wolfharing,Chirocentrus dorab.jpg,Fork length,No limit,No limit,Open all year,60 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,"Bands of green and blue dorsally.  Attains a maximum length of about 100cm.  Voracious predators of small schooling fish such as herrings and anchovies.  Feeds mainly on small fish, but perhaps also crustaceans.  Flesh is delicate but very bony.  Occurs from Mozambique to Port Edward",Salt,
Yellowbelly rockcod,Epinephelus marginatus,Geelpens-klipkabeljou,Epinephelus marginatus.jpg,Total length,1,60 cm,Open all year,66 cm,66 cm,61 cm,52 cm,42 cm,27.5 kg,RED,Map15.jpg,"Prefers rocky bottoms.  Solitary and territorial.  Juveniles are found closer to shore in rocky tidal pools.  Feeds on crabs and octopus while larger individuals feed on a greater proportion of fish, the majority of which are reef-associated species.  Forms spawning aggregations.  Quite often caught by anglers.  Occurs from Mozambique to Cape Agulhas",Salt,
Yellowfin emperor,Lethrinus crocineus,Geelvin-keiser,Lethrinus crocineus.jpg,Total length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,3.25 kg,NOT LISTED,Map24.jpg,Colour of the body is tan or yellowish while the head is brown.  The base of the scales are sometimes black.  Fins are pale or yellowish and the edge of the dorsal fin is reddish or yellowish.  Found in coastal waters and reef areas.  Occurs from Mozambique to Port Edward,Salt,
Yellowfin tuna,Thunnus albacares,Geelvin-tuna,Thunnus albacares.jpg,Fork length,10,No limit,Open all year,170 cm,84 cm,0 cm,0 cm,0 cm,115.65 kg,GREEN,Map35.jpg,"Yellowfin tuna can grow to 200kg, but most caught in South African waters are less than 100kg.  They are found worldwide in tropical and subtropical seas, but absent from the Mediterranean Sea.  It is a highly migratory, oceanic species occurring above and below the thermoclines.  They school primarily by size, with larger fish frequently schooling with dolphins.  Feed on fish, crustaceans and squids.  They can be targeted with a variety of lures, as well as with both live and dead bait.  The flesh is excellent and much sought after.   It makes for excellent sushi.  Care must be taken to bleed and cool the flesh to ensure the best quality.  Occurs from Mozambique to Namibia",Salt,
Yellowspotted kingfish,Carangoides fulvoguttatus,Geelspikkel-koningvis,Carangoides fulvoguttatus.jpg,Fork length,5,No limit,Open all year,88 cm,62 cm,0 cm,70 cm,56 cm,16 kg,RED,Map16.jpg,"Blue-green above, usually with many small brassy spots on the sides.  Large adults often with 3 black blotches in a row on flanks.  Attains about 100cm.  Inhabits rocky coasts, reefs and offshore banks.  Found singly or in large schools.  Feeds on small invertebrates and fish.  A popular spearfishing species.  Occurs from Mozambique to Durban",Salt,
Yellowtail rockcod,Epinephelus flavocaeruleus,Geelstert-klipkabeljou,Epinephelus flavocaeruleus.jpg,Fork length,5 and maximum of 5 species per day.,No limit,Open all year,56 cm,0 cm,0 cm,0 cm,0 cm,16.3 kg,NOT LISTED,Map22.jpg,"Adults have yellow fins.  Small juveniles about half blue, half yellow.  Juveniles inhabit shallow reefs while adults are found on deeper reefs.  Feeds on a variety of fish, crabs, shrimps, spiny lobsters, squids, and small octopus.  Occurs from Mozambique to Port Elizabeth",Salt,
Zebra,Diplodus cervinus hottentotus,Wildeperd,Diplodus cervinus hottentotus.jpg,Fork length,5,30 cm,Open all year,56 cm,49 cm,0 cm,46 cm,37 cm,2.4 kg,RED,Map10.jpg,"Zebra can grow to more than 2kg with most specimens around 1kg.  The young are bright yellow between crossbars with the yellow fading with age.  Inhabits coastal waters, mainly over rocky bottoms.  Also enters estuaries, which are also used as nursery grounds.  They don’t aggregate in shoals but mostly found singly or in small groups.  Feeds on fish, molluscs, crustaceans, worms and other organisms.  Often caught after periods of storms in the discoloured water.  Readily takes redbait, sardine, mussels or bloodworms.  The flesh is not regarded as particularly good eating.  Occurs from Kosi Bay to False Bay",Salt,
